ENODEB;SAIS_TYP;INTENSITE;2016S46;2016S47;2016S48;2016S49;2016S50;2016S51;2016S52;2017S01;2017S02;2017S03;2017S04;2017S05;2017S06;2017S07;2017S08;2017S09;2017S10;2017S11;2017S12;2017S13;2017S14;2017S15;2017S16;2017S17;2017S18;2017S19;2017S20;2017S21;2017S22;2017S23;2017S24;2017S25;2017S26;2017S27;2017S28;2017S29;2017S30;2017S31;2017S32;2017S33;2017S34;2017S35;2017S36;2017S37;2017S38;2017S39;2017S40;2017S41;2017S42;2017S43;2017S44;2017S45;2017S46;2017S47;2017S48;2017S49;2017S50;2017S51;2017S52;2018S01;2018S02;2018S03;2018S04;2018S05;2018S06;2018S07;2018S08;2018S09;2018S10;2018S11;2018S12;2018S13;2018S14;2018S15;2018S16;2018S17;2018S18;2018S19;2018S20;2018S21;2018S22;2018S23;2018S24;2018S25;2018S26;2018S27;2018S28;2018S29;2018S30;2018S31;2018S32;2018S33;2018S34;2018S35;2018S36;2018S37;2018S38;2018S39;2018S40;2018S41;2018S42;2018S43;2018S44;2018S45;2018S46;2018S47;2018S48;2018S49;2018S50;2018S51;2018S52;2019S01;2019S02;2019S03;2019S04;2019S05;2019S06;2019S07;2019S08
00000001V1;;;;;;;;;;;;;;;6.752143;5.243206;5.453917;6.141198;6.178421;5.25659;6.207385;6.154164;5.934734;5.993727;7.276841;8.723617;9.658063;7.385404;6.440074;7.945021;7.321008;7.944323;7.580584;6.983795;8.637104;8.417862;9.769814;9.429024;10.746064;10.750867;10.631226;10.78594;11.669872;12.624887;12.245429;11.054183;10.824869;10.475467;7.652089;11.046575;8.287298;10.180333;7.874582;11.487264;9.697357;9.536142;9.129965;10.860249;9.015873;12.366147;12.889155;9.278496;9.010395;10.069655;11.598306;10.755752;12.191999;11.556598;13.506713;10.344962;13.328867;11.967065;18.028131;11.555287;11.188269;11.82649;9.853308;12.158186;14.73578;14.163791;12.233371;10.742693;13.324582;13.429592;14.620301;12.455264;10.267374;13.159669;12.114349;11.825958;14.786436;16.808671;15.725337;16.472406;11.477132;14.96873;10.870703;18.735642;13.561085;11.161904;11.814711;12.60698;15.297234;14.395984;15.923871;13.943928;11.477481;7.985148;13.972285;13.087556;14.956649;16.27124;9.366768;11.420967;10.113246;11.489788;10.54442;10.171578;13.756716;11.837367;12.7013
00000002H1;;;;1.79382;1.9443;2.754689;2.72224;3.401776;3.323454;2.31033;2.927992;2.484908;2.503343;2.042249;3.237732;3.597271;3.240657;2.726517;2.637478;2.696765;2.26007;3.48562;3.313262;4.317114;3.660645;4.02569;4.469602;3.506493;3.9155;4.655761;5.36481;4.036687;5.095499;5.107109;4.560645;5.46635;5.58167;5.372888;6.131978;5.589664;5.42674;5.345852;5.358048;5.608174;4.534035;4.535854;3.763836;4.392278;5.870216;3.723764;4.24562;4.914781;5.626208;4.507029;4.035885;4.724864;4.843652;4.863371;4.479165;3.911646;4.091244;3.397524;3.182863;2.698149;3.17265;2.784674;2.738142;3.959364;3.120079;3.077992;3.055614;3.554263;2.814882;3.209955;3.026492;2.801792;3.776127;3.018344;3.770476;3.581073;3.612439;3.955813;3.197455;3.790252;3.853789;3.878821;5.025281;4.782296;4.840645;4.995403;4.543664;4.614871;4.681488;4.874707;4.808708;4.309824;3.516104;3.782675;3.539161;3.563331;3.140433;3.203443;3.350942;3.485219;3.978334;3.215682;3.775055;4.595949;3.34846;3.323529;4.445123;3.730958;3.284325;6.024878;2.987183;3.359633;3.038262;3.100159;4.313931;3.504806;3.28654
00000005H7;;;1.916409;2.071822;1.919542;1.85565;2.028585;1.78871;1.749382;1.747307;1.861755;2.014465;2.152346;2.048933;2.00214;1.947808;1.975647;1.899706;2.11099;2.21511;2.082668;2.228488;2.267546;2.405479;2.365139;2.2881;2.758078;2.78299;2.681745;2.451465;2.531722;2.528252;2.569818;2.519231;2.432327;2.467461;2.599984;2.668253;2.866704;3.438542;3.000312;3.581825;3.557329;3.190401;3.096973;3.061333;3.012505;3.585103;3.252434;3.614376;3.4305;3.415482;4.709329;3.774417;3.663174;4.052498;3.681417;3.656798;3.976218;4.477258;3.703833;4.172758;4.327761;4.22964;4.528324;4.789482;4.705664;4.45057;5.003291;4.387619;3.918598;5.029457;4.935114;4.236026;4.951863;4.363073;4.255269;4.002352;4.286415;3.456217;3.961552;4.703048;4.620728;4.431589;4.911159;4.262132;5.838482;4.800772;4.77751;4.502543;4.995974;4.636812;5.216634;6.515832;3.883456;4.159251;5.087327;5.801462;4.539289;5.818073;4.107949;4.41797;5.893172;5.629243;4.534683;4.640714;4.664139;4.988247;5.437065;5.348033;5.190081;6.402111;5.768449;4.805781;4.778304;5.07941;4.696844;5.687043;4.74294;5.127141;5.026599
00000005J5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.063764;8.995921;9.738079;10.247367;9.961115;11.387195;11.092608;11.295916;11.073436;11.206248;10.425663;8.604873;9.409562;;;5.611383;8.039473;7.5182;6.171878;5.881366;6.520059;5.068253;5.6278;4.88724;5.870793;6.25404;8.67214;7.374469;5.151719;5.026023;5.607292;6.318892;5.871682;5.448489;8.442279;12.248678;8.406009;8.20053;9.236078;8.306514;7.883026;11.9937;11.120291;12.699811;14.164728;12.85249;14.003098;13.146282;9.16763;10.645946;12.386485;10.719603;12.073205;15.108305;12.619452;15.077372;15.794087;15.909073;16.171607;15.614531;17.197565;16.825511;15.303933;15.341999;15.532464;14.704707;11.624426;9.865734;7.102564;11.011755;12.633382;8.342466;11.138356;7.447183;12.100866;11.480817;6.718759;7.737438;9.15409;7.791367;7.803846;7.601392;8.597711;9.016835;8.136528;10.252555;9.18705;14.408603;11.842681
00000006J5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.83724;3.717436;3.447321;4.127477;3.922011;4.1181;3.934923;4.491774;4.278234;4.508847;4.120602;4.582806;4.101011;3.860969;4.58677;4.517039;4.510063;4.682554;4.948652;4.593975;4.356426;4.343442;4.625051;4.161969;4.288796;4.346362;5.308413;4.127158;4.156336;4.479188;3.88455;3.871105;4.125841;4.84552;4.153837;4.648264;4.12719;4.752842;4.248318;4.21936;4.313291;4.824997;4.830608;4.426187;4.561049;5.724184
00000006V1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.658308;1.521171;2.12155;2.251036;2.649647;2.622204;2.561699;2.047721;2.947995;2.096173;1.910597;2.263877;1.763487;2.114926;1.75739;4.703768;3.265518;3.758091;3.306146;4.050373;4.809135;3.40361;3.56093;4.097919;4.127387;3.911398;3.543208;4.028988;3.362806;2.859428;3.557602;5.158819;4.95925;4.703729;4.532537;3.848938;4.030455;4.119284;4.370989;4.863174;4.453857;4.237796;4.141339;4.281494;3.270114;4.214647;5.056174;4.336137;5.924562;3.981309;4.363212;4.12819;5.315554;4.501528;4.689667;4.805659;5.152919;5.103505;4.584026;4.933974;5.277691;5.900346;4.223868;4.041818;4.641231;4.201139;4.024763;4.178053;4.185422;3.671484;4.209674;4.615308;4.434025;4.146595;4.742974;3.890512;4.90518;4.824191;5.710217;5.191114;4.698145;5.046122;4.142035;3.719122;5.775476;5.301809;6.610733;4.681248
00000007H1;;;2.813937;1.984914;1.942571;2.104397;2.740638;2.633091;2.892509;2.27991;2.687612;2.415358;2.410278;2.301714;2.769716;2.618042;2.465049;2.48378;2.761357;2.970743;2.714664;2.54604;2.521698;2.864591;2.844492;2.683879;2.752018;2.649911;2.745557;2.306426;2.848956;3.575345;3.235621;3.335756;3.231022;2.822807;3.254671;3.449992;3.171045;3.074543;2.791719;3.209393;3.723344;3.611976;3.583523;3.596579;3.628848;3.25562;2.741972;3.344008;3.676589;3.386784;3.319957;3.982658;3.109549;3.57873;3.726033;3.202315;3.594654;3.21877;4.031457;4.109422;3.79291;3.755407;4.391138;3.981132;4.361858;3.778665;3.45903;5.520745;3.922718;4.169036;4.293184;3.931345;4.564492;4.167935;4.612603;4.134358;4.390649;4.152061;4.536261;4.461584;4.211522;4.672025;4.675824;4.642618;5.70399;5.093485;3.915633;4.649253;4.222649;4.334546;4.331645;4.835566;5.677093;5.388526;5.593629;4.798117;5.254856;5.003748;5.034116;5.337043;6.068201;5.477316;5.022989;5.436132;6.105189;4.930307;5.081102;5.556528;5.920083;5.467196;6.537204;5.822754;7.585188;6.953396;6.235793;5.578519;6.015669;5.815156;6.481847
00000007H7;;;1.935853;2.028157;1.924271;1.976207;2.137341;2.02502;2.039009;1.986269;1.519784;1.358207;2.377049;2.383427;2.852521;2.318581;2.995578;2.15911;2.626749;2.396482;2.587004;2.430824;2.851758;3.604182;3.292718;3.005683;3.519498;2.971215;2.975465;3.663096;3.544154;3.17053;3.14233;3.055203;3.300927;3.676502;3.792849;3.702199;3.920197;4.302246;4.952064;4.320243;4.22498;4.687071;3.945037;4.33447;4.224705;4.266152;5.568157;3.798733;4.155009;4.125309;5.02417;4.396738;4.813656;4.306885;4.544092;4.90561;4.075824;4.762493;4.80342;4.524748;3.945555;4.75833;4.988404;4.461214;5.195404;5.151337;5.353594;4.895825;4.477797;6.209754;5.349424;4.818206;5.878067;6.535133;5.461256;5.62653;5.345658;4.858858;5.588534;5.22318;6.515869;5.855391;7.2604;5.952126;8.540791;6.771039;7.636608;7.168194;7.483925;7.897673;6.032215;7.354484;6.255251;7.422836;6.175673;6.220632;5.983855;6.987663;6.175568;10.491468;7.575643;7.213683;8.493541;6.990968;8.033962;6.605399;7.445321;8.386252;7.449744;9.641926;9.29477;8.571878;7.482498;8.60913;7.685207;7.561574;8.862259;8.210411;7.891314
00000007J4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.6231414;0.6841789;0.8480227;0.8097189;1.0037893;1.2430307;1.2953752;3.1692813;2.8902084;2.5578369;3.291446;3.0589181;2.7962269;2.9470289;2.9248892;3.4653683;2.4813503;3.2298913;3.1771968;3.2869239;3.1730968;3.2550956;3.6418767;3.2170606;3.3583466;3.262892;3.4410294;3.7351731;3.0158285;3.3458212;3.3292447;4.1401764;3.5388613;3.7664431;3.2215753;4.1432756;3.7623267;3.4204385;3.6045294;3.7145731;3.8411269;3.6910465;3.2821179;3.0382226;3.661104;3.5868527;3.5720467;3.9978607;3.6816076;4.0379711;3.6867896;3.3829628;3.437104;3.3009618;4.0807546;3.184224;3.1471319;1.6826396;4.1520445;3.4461784
00000007V1;;;1.4143266;1.4151504;1.3959968;1.3041352;1.4793305;1.5548396;1.6558822;1.5222596;1.7462395;1.5817929;1.5464071;1.5490171;1.7597109;1.4751252;1.5713529;1.5509777;0.1666587;1.8928051;1.815844;2.028572;2.0434864;2.09726;2.2701355;2.3736735;2.2292014;2.2067934;2.2553443;3.7926979;3.1924518;3.662327;3.8982137;3.8754379;4.0685476;4.08371;4.7104582;5.117403;5.1963028;5.0113867;5.0321164;5.1141731;5.155493;4.6398329;4.6577591;5.2635605;4.4800522;3.8386594;3.7299842;3.5672893;3.5457447;3.6071863;3.5638823;3.1953836;3.4837729;3.0407837;3.0556254;3.2399201;3.1857746;3.9301536;5.3801071;3.9998797;3.5128721;3.864762;3.5994714;3.2287391;3.3549669;3.9438222;4.2204972;4.0112845;3.3841729;3.8946413;4.6509276;3.5529426;4.1860649;4.3397359;4.6942604;4.5725041;5.6139488;4.9304643;4.5678988;5.2104105;5.3505553;5.576789;5.2103289;5.1700052;5.5693679;6.0580526;6.3799755;5.8560067;6.6568042;6.1876932;6.2090035;6.0027889;6.7065655;6.0987744;5.1385609;5.1223083;5.0138957;6.6558343;5.765086;4.1366188;5.5580998;5.4283814;5.7741099;4.2011626;3.9250002;4.3939077;4.2289932;7.152706;3.7147825;4.5589323;5.2863549;4.4271162;4.4980082;4.5347135;4.4193019;6.5461618;4.6395863;4.3103613;6.6882946
